s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
0.0000000,-1.0168036,0.5548817,0.6221103,-0.3658908,3.2064509,2.0319805,0.6008,0.8922
0.0499071,-1.0450753,0.5950826,0.6035166,-0.3896582,3.2379234,1.7045224,0.5954,0.8863
0.0998142,-1.0728675,0.6362623,0.5837030,-0.4067917,3.2640900,1.4522706,0.5900,0.8805
0.1497213,-1.1002032,0.6785967,0.5629154,-0.4170370,3.2862198,1.2797550,0.5846,0.8746
0.1996284,-1.1262620,0.7208621,0.5419900,-0.4286298,3.3055980,1.0972479,0.5806,0.8695
0.2495355,-1.1511986,0.7632943,0.5205083,-0.4439359,3.3221227,0.8791814,0.5818,0.8666
0.2994426,-1.1756224,0.8070330,0.4979225,-0.4574034,3.3353042,0.6886489,0.5830,0.8637
0.3493497,-1.1994453,0.8521126,0.4742950,-0.4690324,3.3455928,0.5256665,0.5841,0.8608
0.3992567,-1.2213407,0.8960046,0.4510945,-0.4766796,3.3534251,0.4140075,0.5848,0.8579
0.4491638,-1.2423882,0.9408010,0.4273149,-0.4842097,3.3595809,0.3084907,0.5845,0.8549
0.4990709,-1.2626534,0.9867864,0.4027882,-0.4918998,3.3641604,0.2059298,0.5841,0.8519
0.5489780,-1.2820487,1.0339464,0.3775063,-0.4996477,3.3672140,0.1075605,0.5838,0.8489
0.5988851,-1.2995481,1.0797041,0.3530442,-0.4992249,3.3688078,0.1067789,0.5806,0.8411
0.6487922,-1.3161193,1.1264524,0.3282633,-0.5002378,3.3703893,0.0897382,0.5706,0.8213
0.6986993,-1.3316992,1.1741530,0.3031073,-0.5025586,3.3717179,0.0586942,0.5605,0.8016
0.7486064,-1.3462221,1.2227614,0.2775270,-0.5060499,3.3725865,0.0159217,0.5505,0.7819
0.7985135,-1.3591592,1.2704219,0.2526253,-0.5015974,3.3728221,0.0657360,0.5409,0.7619
0.8484206,-1.3709602,1.3185988,0.2278527,-0.4975015,3.3737947,0.1089352,0.5364,0.7395
0.8983277,-1.3816544,1.3674688,0.2030365,-0.4948301,3.3754057,0.1337446,0.5319,0.7171
0.9482348,-1.3912060,1.4169808,0.1781235,-0.4934788,3.3773826,0.1422848,0.5274,0.6947
0.9981419,-1.3994380,1.4661627,0.1536153,-0.4871427,3.3794845,0.2073557,0.5229,0.6724
1.0480490,-1.4064359,1.5152458,0.1296956,-0.4779611,3.3825453,0.3019105,0.5220,0.6526
1.0979560,-1.4123013,1.5647888,0.1060529,-0.4700392,3.3869968,0.3777805,0.5224,0.6338
1.1478631,-1.4170270,1.6147440,0.0826404,-0.4633182,3.3925588,0.4366556,0.5228,0.6150
1.1977702,-1.4205939,1.6648632,0.0595120,-0.4560197,3.3989763,0.4999076,0.5233,0.5962
1.2476773,-1.4229887,1.7143780,0.0372599,-0.4419012,3.4063085,0.6399690,0.5216,0.5756
1.2975844,-1.4243016,1.7641571,0.0155851,-0.4287983,3.4156721,0.7633296,0.5141,0.5497
1.3474915,-1.4245500,1.8141613,-0.0055503,-0.4166894,3.4268071,0.8713254,0.5065,0.5237
1.3973986,-1.4237512,1.8643511,-0.0261831,-0.4055512,3.4394734,0.9651066,0.4989,0.4978
1.4473057,-1.4219466,1.9141909,-0.0460695,-0.3903109,3.4534488,1.1058680,0.4913,0.4718
1.4972128,-1.4191790,1.9638818,-0.0650685,-0.3733350,3.4693933,1.2649053,0.4870,0.4510
1.5471199,-1.4154771,2.0136488,-0.0832939,-0.3572141,3.4875415,1.4113152,0.4841,0.4326
1.5970270,-1.4108765,2.0634598,-0.1007771,-0.3419273,3.5076794,1.5462557,0.4813,0.4143
1.6469341,-1.4054155,2.1132609,-0.1175398,-0.3262580,3.5296109,1.6855986,0.4785,0.3960
1.6968412,-1.3991762,2.1627479,-0.1330423,-0.2955210,3.5533646,2.0154302,0.4757,0.3780
1.7467483,-1.3922012,2.2121827,-0.1470489,-0.2657374,3.5815595,2.3339979,0.4763,0.3760
1.7966553,-1.3845689,2.2615326,-0.1595928,-0.2367778,3.6139361,2.6456459,0.4768,0.3740
1.8465624,-1.3763575,2.3107652,-0.1707029,-0.2084947,3.6502887,2.9546854,0.4773,0.3720
1.8964695,-1.3676154,2.3600134,-0.1804148,-0.1790202,3.6904643,3.2887111,0.4779,0.3699
1.9463766,-1.3584132,2.4092847,-0.1886024,-0.1476740,3.7346736,3.6605723,0.4782,0.3690
1.9962837,-1.3488724,2.4583556,-0.1952016,-0.1163141,3.7832742,4.0481485,0.4781,0.3700
2.0461908,-1.3390800,2.5072054,-0.2002121,-0.0847543,3.8363038,4.4575205,0.4780,0.3711
2.0960979,-1.3291227,2.5558135,-0.2036271,-0.0527888,3.8938606,4.8955539,0.4779,0.3721
2.1460050,-1.3188941,2.6050768,-0.2056076,-0.0267510,3.9561087,4.9861471,0.4778,0.3731
2.1959121,-1.3086260,2.6541987,-0.2063091,-0.0010649,4.0185177,4.9761668,0.4811,0.3729
2.2458192,-1.2984162,2.7030291,-0.2057064,0.0253938,4.0798500,4.9662064,0.4861,0.3722
2.2957263,-1.2883329,2.7515604,-0.2037744,0.0527556,4.1401539,4.7519889,0.4911,0.3714
2.3456334,-1.2783270,2.8003590,-0.2005788,0.0666282,4.1970454,2.2422203,0.4960,0.3707
2.3955405,-1.2683643,2.8497648,-0.1974635,0.0569203,4.2236235,-5.3416157,0.5015,0.3707
2.4454476,-1.2586168,2.8988272,-0.1948665,0.0468421,4.1600272,-5.5358901,0.5129,0.3791
2.4953546,-1.2490573,2.9475376,-0.1927991,0.0363734,4.0930754,-5.7262696,0.5244,0.3876
2.5452617,-1.2396487,2.9959395,-0.1912725,0.0249099,4.0226488,-5.9212677,0.5358,0.3960
2.5951688,-1.2300538,3.0455892,-0.1907786,-0.0056287,3.9485031,-5.7385247,0.5472,0.4045
2.6450759,-1.2205244,3.0948250,-0.1918525,-0.0374644,3.8752923,-5.2663715,0.5572,0.4131
2.6949830,-1.2109838,3.1436285,-0.1945342,-0.0706757,3.8068664,-4.8048863,0.5660,0.4219
2.7448901,-1.2013553,3.1919817,-0.1988659,-0.1053418,3.7433456,-4.4600596,0.5748,0.4306
2.7947972,-1.1912586,3.2413401,-0.2049151,-0.1335560,3.6834032,-4.1406714,0.5836,0.4394
2.8447043,-1.1808609,3.2904842,-0.2123168,-0.1614026,3.6268666,-3.8220900,0.5916,0.4489
2.8946114,-1.1701669,3.3390884,-0.2210683,-0.1905669,3.5738862,-3.5023359,0.5958,0.4618
2.9445185,-1.1591190,3.3871350,-0.2312092,-0.2211038,3.5246389,-3.3326695,0.6000,0.4746
2.9944256,-1.1473126,3.4360206,-0.2428884,-0.2406685,3.4771298,-3.2076503,0.6041,0.4875
3.0443327,-1.1349331,3.4846913,-0.2553896,-0.2572911,3.4307817,-3.0847713,0.6083,0.5004
3.0942398,-1.1220523,3.5327382,-0.2686108,-0.2743841,3.3856106,-2.9643575,0.6025,0.5094
3.1441469,-1.1086455,3.5801616,-0.2825626,-0.2919067,3.3416274,-2.8830620,0.5961,0.5181
3.1940540,-1.0942731,3.6283196,-0.2976150,-0.3065709,3.2982880,-2.8249133,0.5898,0.5269
3.2439610,-1.0792250,3.6760516,-0.3132915,-0.3196822,3.2552630,-2.7875478,0.5834,0.5357
3.2938681,-1.0635246,3.7232176,-0.3294800,-0.3313828,3.2122422,-2.7432119,0.5763,0.5475
